Payment Information,Date,Method,Amount,Taxes,Total,Status
27714,2017-12-12 13:41:29+00:00,3RD PARTY,150,18,168,ACCEPTED
27713,2017-12-12 13:40:27+00:00,3RD PARTY,150,18,168,ACCEPTED
27711,2017-12-12 13:39:10+00:00,3RD PARTY,150,18,168,ACCEPTED
27712,2017-12-12 13:39:37+00:00,3RD PARTY,150,18,168,ACCEPTED
27710,2017-12-12 13:38:14+00:00,3RD PARTY,150,18,168,ACCEPTED
27709,2017-12-12 13:37:31+00:00,3RD PARTY,150,18,168,ACCEPTED
27703,2017-12-12 13:31:29+00:00,3RD PARTY,150,18,168,ACCEPTED
27702,2017-12-12 13:30:55+00:00,3RD PARTY,150,18,168,ACCEPTED
27705,2017-12-12 13:33:15+00:00,3RD PARTY,150,18,168,ACCEPTED
27704,2017-12-12 13:32:51+00:00,3RD PARTY,150,18,168,ACCEPTED
27706,2017-12-12 13:34:15+00:00,3RD PARTY,150,18,168,ACCEPTED
27707,2017-12-12 13:35:19+00:00,3RD PARTY,150,18,168,ACCEPTED
27708,2017-12-12 13:36:16+00:00,3RD PARTY,150,18,168,ACCEPTED
27701,2017-12-12 13:29:33+00:00,3RD PARTY,150,18,168,ACCEPTED
27700,2017-12-12 13:28:27+00:00,3RD PARTY,150,18,168,ACCEPTED
27699,2017-12-12 13:27:31+00:00,3RD PARTY,150,18,168,ACCEPTED
27680,2017-12-12 13:04:43+00:00,3RD PARTY,150,18,168,ACCEPTED
27686,2017-12-12 13:09:51+00:00,3RD PARTY,150,18,168,ACCEPTED
27684,2017-12-12 13:08:15+00:00,3RD PARTY,150,18,168,ACCEPTED
27682,2017-12-12 13:06:41+00:00,3RD PARTY,150,18,168,ACCEPTED
27683,2017-12-12 13:07:17+00:00,3RD PARTY,150,18,168,ACCEPTED
27688,2017-12-12 13:11:41+00:00,3RD PARTY,150,18,168,ACCEPTED
27692,2017-12-12 13:16:38+00:00,3RD PARTY,150,18,168,ACCEPTED
27691,2017-12-12 13:16:00+00:00,3RD PARTY,150,18,168,ACCEPTED
27687,2017-12-12 13:10:23+00:00,3RD PARTY,150,18,168,ACCEPTED
27695,2017-12-12 13:19:38+00:00,3RD PARTY,150,18,168,ACCEPTED
27685,2017-12-12 13:08:49+00:00,3RD PARTY,150,18,168,ACCEPTED
27697,2017-12-12 13:21:33+00:00,3RD PARTY,150,18,168,ACCEPTED
27929,2017-12-20 19:16:42+00:00,ADMIN HEADSET,2.5,0.3,2.8,ACCEPTED
28118,2017-12-29 16:24:50+00:00,3RD PARTY,150,18,168,ACCEPTED
27690,2017-12-12 13:13:49+00:00,3RD PARTY,150,18,168,ACCEPTED
27694,2017-12-12 13:18:10+00:00,3RD PARTY,150,18,168,ACCEPTED
27693,2017-12-12 13:17:40+00:00,3RD PARTY,150,18,168,ACCEPTED
27698,2017-12-12 13:22:05+00:00,3RD PARTY,150,18,168,ACCEPTED
27696,2017-12-12 13:20:34+00:00,3RD PARTY,150,18,168,ACCEPTED
27681,2017-12-12 13:05:28+00:00,3RD PARTY,150,18,168,ACCEPTED
27679,2017-12-12 12:44:56+00:00,3RD PARTY,150,18,168,ACCEPTED
27766,2017-12-14 19:49:41+00:00,ADMIN HEADSET,2.5,0.3,2.8,ACCEPTED
27768,2017-12-14 20:41:54+00:00,ADMIN HEADSET,2.5,0.3,2.8,ACCEPTED
27879,2017-12-18 19:03:17+00:00,ADMIN HEADSET,2.5,0.3,2.8,ACCEPTED
27994,2017-12-23 01:54:53+00:00,ADMIN REFUND,30,3.6,33.6,ACCEPTED
28077,2017-12-27 23:56:03+00:00,ADMIN REFUND,30,3.6,33.6,ACCEPTED
27689,2017-12-12 13:12:17+00:00,3RD PARTY,150,18,168,ACCEPTED
27502,2017-12-02 17:03:57+00:00,CREDIT CARD,30,3.6,33.6,ACCEPTED
27565,2017-12-06 01:15:58+00:00,CREDIT CARD,30,3.6,33.6,ACCEPTED
27887,2017-12-19 00:04:49+00:00,CREDIT CARD,30,3.6,33.6,ACCEPTED
27641,2017-12-09 21:55:08+00:00,POS-DEBIT,30,3.6,33.6,ACCEPTED
27715,2017-12-12 15:52:29+00:00,POS-DEBIT,30,3.6,33.6,ACCEPTED
28024,2017-12-24 23:40:18+00:00,CREDIT CARD,30,3.6,33.6,ACCEPTED
28070,2017-12-27 21:27:00+00:00,POS-CREDIT,30,3.6,33.6,ACCEPTED
28022,2017-12-24 20:04:44+00:00,POS-DEBIT,30,3.6,33.6,ACCEPTED
28023,2017-12-24 20:05:18+00:00,POS-DEBIT,3,0.36,3.36,ACCEPTED
28099,2017-12-28 18:09:21+00:00,POS-CREDIT,31.5,3.78,35.28,ACCEPTED
27656,2017-12-10 21:05:49+00:00,POS-CREDIT,74,8.88,82.88,ACCEPTED
27917,2017-12-20 00:32:08+00:00,POS-CREDIT,74,8.88,82.88,ACCEPTED
27953,2017-12-21 19:13:51+00:00,POS-DEBIT,74,8.88,82.88,ACCEPTED
27638,2017-12-09 21:13:34+00:00,POS-CREDIT,30,3.6,33.6,ACCEPTED
27716,2017-12-12 17:11:26+00:00,POS-CREDIT,30,3.6,33.6,ACCEPTED
27795,2017-12-15 16:48:58+00:00,POS-CREDIT,12,1.44,13.44,ACCEPTED
27825,2017-12-16 21:17:37+00:00,POS-DEBIT,12,1.44,13.44,ACCEPTED
27849,2017-12-17 20:24:22+00:00,POS-CREDIT,12,1.44,13.44,ACCEPTED
27884,2017-12-18 21:37:01+00:00,POS-CREDIT,30,3.6,33.6,ACCEPTED
27956,2017-12-21 22:12:48+00:00,CREDIT CARD,155,18.6,173.6,ACCEPTED
27570,2017-12-06 01:45:54+00:00,CREDIT CARD,30,3.6,33.6,ACCEPTED
28123,2017-12-29 23:49:37+00:00,POS-CREDIT,30,3.6,33.6,ACCEPTED
28094,2017-12-28 15:27:45+00:00,POS-DEBIT,74,8.88,82.88,ACCEPTED
28095,2017-12-28 15:28:13+00:00,ADMIN HEADSET,2.5,0.3,2.8,ACCEPTED
27516,2017-12-03 04:50:24+00:00,CREDIT CARD,79,9.48,88.48,ACCEPTED
28073,2017-12-27 22:28:39+00:00,CREDIT CARD,30,3.6,33.6,ACCEPTED
27883,2017-12-18 21:24:07+00:00,CREDIT CARD,12,1.44,13.44,ACCEPTED
27909,2017-12-19 21:59:00+00:00,CREDIT CARD,12,1.44,13.44,ACCEPTED
28032,2017-12-25 20:57:33+00:00,POS-DEBIT,30,3.6,33.6,ACCEPTED
27999,2017-12-23 18:10:48+00:00,CREDIT CARD,30,3.6,33.6,ACCEPTED
27499,2017-12-02 02:29:18+00:00,CREDIT CARD,30,3.6,33.6,ACCEPTED
27567,2017-12-06 01:23:03+00:00,CREDIT CARD,30,3.6,33.6,ACCEPTED
27662,2017-12-11 01:10:46+00:00,CREDIT CARD,30,3.6,33.6,ACCEPTED
27807,2017-12-16 00:33:54+00:00,CREDIT CARD,30,3.6,33.6,ACCEPTED
27923,2017-12-20 03:13:17+00:00,CREDIT CARD,30,3.6,33.6,ACCEPTED
28000,2017-12-23 18:29:48+00:00,CREDIT CARD,30,3.6,33.6,ACCEPTED
28054,2017-12-27 02:11:48+00:00,CREDIT CARD,30,3.6,33.6,ACCEPTED
28133,2017-12-30 20:32:02+00:00,CREDIT CARD,30,3.6,33.6,ACCEPTED
27595,2017-12-07 18:24:20+00:00,POS-DEBIT,30,3.6,33.6,ACCEPTED
27851,2017-12-17 20:48:49+00:00,POS-CREDIT,150,18,168,ACCEPTED
27613,2017-12-08 20:27:01+00:00,POS-CREDIT,30,3.6,33.6,ACCEPTED
27809,2017-12-16 00:38:19+00:00,POS-CREDIT,12,1.44,13.44,ACCEPTED
27854,2017-12-17 21:27:22+00:00,POS-CREDIT,12,1.44,13.44,ACCEPTED
27871,2017-12-18 15:29:07+00:00,FREE SERVICE,12,1.44,13.44,ACCEPTED
