Date,1 Day Entertainment,3 Day Entertainment,7 Day Entertainment,28 Day Entertainment,1 Day Telephone,3 Day Telephone,7 Day Telephone,28 Day Telephone,1 Day All Inclusive,3 Day All Inclusive,7 Day All Inclusive,28 Day All Inclusive
2017/12/01,8,9,2,0,1,1,0,0,2,3,0,0
2017/12/02,1,6,3,0,0,0,0,0,1,0,0,0
2017/12/03,7,4,3,0,0,0,0,0,2,1,0,1
2017/12/04,12,5,1,0,0,0,0,0,1,0,0,0
2017/12/05,8,7,3,0,0,0,0,0,1,2,0,0
2017/12/06,10,1,2,1,0,1,1,0,3,0,0,0
2017/12/07,12,6,0,0,0,1,1,0,0,1,0,0
2017/12/08,6,7,2,0,1,1,0,0,0,1,0,0
2017/12/09,4,3,0,0,1,0,0,0,1,0,0,0
2017/12/10,11,2,2,0,0,0,0,0,1,0,0,0
2017/12/11,5,2,2,0,2,0,0,0,2,3,0,0
2017/12/12,3,4,2,0,0,1,0,0,0,2,0,0
2017/12/13,3,3,3,1,0,0,0,0,0,0,1,0
2017/12/14,4,3,0,0,0,0,0,0,1,2,0,0
2017/12/15,5,3,2,2,2,0,0,0,1,0,0,0
2017/12/16,4,6,3,1,0,0,0,0,0,1,0,0
2017/12/17,10,2,1,0,0,1,0,0,1,0,0,0
2017/12/18,3,4,1,0,0,0,0,0,6,0,0,0
2017/12/19,6,2,0,0,0,0,0,0,2,2,0,0
2017/12/20,5,2,2,0,0,0,0,0,2,1,0,0
2017/12/21,6,5,3,1,0,0,0,0,0,1,0,0
2017/12/22,11,4,4,0,0,1,0,0,0,2,0,0
2017/12/23,9,2,0,0,0,0,0,0,1,0,0,0
2017/12/24,8,5,4,0,0,0,0,0,1,0,0,0
2017/12/25,5,0,1,0,0,0,0,0,0,1,0,0
2017/12/26,11,3,2,0,2,0,0,0,0,0,0,1
2017/12/27,5,7,0,0,1,0,0,0,1,1,0,1
2017/12/28,12,5,3,0,0,0,0,0,4,1,0,0
2017/12/29,5,2,1,0,0,0,0,0,0,0,0,0
2017/12/30,6,4,0,0,0,0,1,0,0,1,0,0
2017/12/31,8,6,6,0,0,0,0,0,0,0,0,0
